Country,Region,Income_Group,Year,GDP_per_capita,Life_Expectancy,Population
India,Asia,High,2000,17505.79,85.2,992003702
India,Asia,High,2000,16653.07,82.4,980820368
India,Asia,High,2000,17383.87,82.4,953162585
India,Asia,High,2000,17144.64,83.7,947613733
India,Asia,High,2000,16828.33,83,987418447
India,Asia,High,2000,16418.43,83.3,1009214274
India,Asia,High,2000,17008.7,83.5,994091287
India,Asia,High,2000,17420.52,84.5,992469141
India,Asia,High,2000,13754.92,84.9,949128543
India,Asia,High,2000,15671.39,82.6,1015685198
India,Asia,High,2000,18490.34,84,964827560
India,Asia,High,2000,15005.26,83,1022876287
India,Asia,High,2000,14728.09,83.1,1004158851
India,Asia,High,2000,13527.5,82.3,1039961605
India,Asia,High,2000,15434.22,84.9,1004432504
India,Asia,High,2000,17641.7,83.6,1031770403
India,Asia,High,2000,17190.23,85.5,1006058994
India,Asia,High,2000,16939.62,84,975064393
India,Asia,High,2000,15529.87,82.9,949095644
India,Asia,High,2000,13981.48,81.9,976808756
India,Asia,High,2000,18190.88,84.3,1007974893
India,Asia,High,2000,17112.38,84.2,1038794720
India,Asia,High,2000,16542.69,84.9,957052324
India,Asia,High,2000,18998.41,82.2,1013955579
India,Asia,High,2000,14433.77,84.3,1003514836
India,Asia,High,2000,17285.27,83.4,1032207265
India,Asia,High,2000,15394.36,84.5,973076476
India,Asia,High,2000,16569.2,82.4,967655660
India,Asia,High,2000,16705.27,84.7,1003717523
India,Asia,High,2000,15621.93,84,1007821034
India,Asia,High,2000,14667.11,83.7,1041576875
India,Asia,High,2000,19229.38,84.5,1035354482
India,Asia,High,2000,14594.55,84.6,958058123
India,Asia,High,2000,14571.36,83.2,989079026
India,Asia,High,2000,16278.88,84.4,959713189
India,Asia,High,2000,17881.12,83.2,974678703
India,Asia,High,2000,14770.92,82.3,963958938
India,Asia,High,2000,14830.07,87.1,1016600070
India,Asia,High,2000,15434.52,82.5,964321514
India,Asia,High,2000,17246.98,81.8,987814936
India,Asia,High,2001,17275.62,83.6,983825550
India,Asia,High,2001,18928.94,84.8,973854020
India,Asia,High,2001,17202.28,84,962242551
India,Asia,High,2001,19154.37,81.9,1027615215
India,Asia,High,2001,13550.71,85.4,1014714152
India,Asia,High,2001,16154.91,83.8,996218497
India,Asia,High,2001,18390.6,82.9,1006377474
India,Asia,High,2001,17230.75,83.9,1041315104
India,Asia,High,2001,16634.65,84.1,1010202818
India,Asia,High,2001,18483.36,84.1,991807977
India,Asia,High,2001,18376.04,82.5,1040615524
India,Asia,High,2001,16218.4,83.3,1053840582
India,Asia,High,2001,17940.87,80.7,1043462876
India,Asia,High,2001,19052.66,84.7,980009663
India,Asia,High,2001,20107.33,84.1,981975765
India,Asia,High,2001,14733.06,83.8,1059465874
India,Asia,High,2001,17393.09,84.2,1047997620
India,Asia,High,2001,16396.75,82.6,1029598878
India,Asia,High,2001,17461.92,83.7,999736541
India,Asia,High,2001,18579.85,85.8,996483793
India,Asia,High,2001,15820.78,82.3,1007923142
India,Asia,High,2001,17524.84,83.6,976663951
India,Asia,High,2001,17291.56,83.2,976956413
India,Asia,High,2001,19313.6,82.7,1031676383
India,Asia,High,2001,17926.03,81.4,1010264925
India,Asia,High,2001,15320.99,84.5,1018446595
India,Asia,High,2001,17281.68,84.1,1050365861
India,Asia,High,2001,14394.29,82.6,1024021628
India,Asia,High,2001,18574.03,84.1,982140823
India,Asia,High,2001,21474.76,83.6,1036482432
India,Asia,High,2001,14623.97,83.3,1048084192
India,Asia,High,2001,18208.04,81.3,1016672277
India,Asia,High,2001,15874.57,82.9,986005679
India,Asia,High,2001,13821.75,83.3,998745671
India,Asia,High,2001,15577.27,85.3,984561141
India,Asia,High,2001,15760.6,82.2,1044569120
India,Asia,High,2001,17926.81,82.7,1014706772
India,Asia,High,2001,16298.43,81.6,984767386
India,Asia,High,2001,16199.42,83.9,959429839
India,Asia,High,2001,15523.95,84.2,966067092
India,Asia,High,2002,16968.78,83.6,1060831046
India,Asia,High,2002,17905.23,83.2,1015060221
India,Asia,High,2002,16002.5,85.2,986112009
India,Asia,High,2002,17183.56,84.4,974243287
India,Asia,High,2002,18334.33,81.5,1003639257
India,Asia,High,2002,16990.77,84.7,1068862353
India,Asia,High,2002,19618.3,83.5,990129815
India,Asia,High,2002,20298.35,82.8,984407536
India,Asia,High,2002,15840.83,81.3,1046269283
India,Asia,High,2002,16703.66,83,978536837
India,Asia,High,2002,20474.64,82.9,976220493
India,Asia,High,2002,17629.49,84.7,994767465
India,Asia,High,2002,18078.48,84.4,1023049393
India,Asia,High,2002,16621.3,86,1044839061
India,Asia,High,2002,17932.55,83,986480186
India,Asia,High,2002,17293.62,82.7,979652768
India,Asia,High,2002,17381.72,83,1070318657
India,Asia,High,2002,18851.34,84.4,1005646513
India,Asia,High,2002,20972.37,83.1,975185394
India,Asia,High,2002,17805.42,84.6,1025365923
India,Asia,High,2002,19261.65,85.6,1066680739
India,Asia,High,2002,19561.35,84.4,1039439115
India,Asia,High,2002,16251.1,84,1053128787
India,Asia,High,2002,18472.13,85.1,1054070738
India,Asia,High,2002,16085.28,84.4,998257783
India,Asia,High,2002,16985.14,82.2,974256401
India,Asia,High,2002,15487.11,85.1,1037248771
India,Asia,High,2002,20135.08,82.5,1005066415
India,Asia,High,2002,17760.07,81.7,1041044874
India,Asia,High,2002,18596.85,83.5,974279196
India,Asia,High,2002,18475.67,83.6,1026243711
India,Asia,High,2002,20320.16,81.5,1029098643
India,Asia,High,2002,16879.83,84.2,995812207
India,Asia,High,2002,19368.21,84,1027662849
India,Asia,High,2002,18949.42,82.4,1045847071
India,Asia,High,2002,16862.41,82.1,1024850147
India,Asia,High,2002,14117.81,83.6,1000675718
India,Asia,High,2002,18390.76,83.6,1039398421
India,Asia,High,2002,15789.23,79.7,978783128
India,Asia,High,2002,18105.56,82.8,1026829060
India,Asia,High,2003,17792.67,84.1,1077841472
India,Asia,High,2003,21027.05,84.3,1081739422
India,Asia,High,2003,19640.03,84.4,1071222028
India,Asia,High,2003,17918.92,85.2,1004646467
India,Asia,High,2003,19635.85,83.5,996796224
India,Asia,High,2003,15934.07,83.9,1041714402
India,Asia,High,2003,18741.37,83.6,1042807990
India,Asia,High,2003,20296.31,82.7,1031418633
India,Asia,High,2003,20523.93,82.8,1007348347
India,Asia,High,2003,17220.05,81.6,1007860666
India,Asia,High,2003,20472.17,81.5,1058213150
India,Asia,High,2003,19277.89,84.5,1058547715
India,Asia,High,2003,16650.22,84.7,1023002909
India,Asia,High,2003,17036.15,83.8,1036244529
India,Asia,High,2003,20344.77,83.5,1082695105
India,Asia,High,2003,15461.43,84.5,986132016
India,Asia,High,2003,19571.91,82.5,989442107
India,Asia,High,2003,17598.73,83.2,1012077799
India,Asia,High,2003,20461.68,83,1076221778
India,Asia,High,2003,16993.21,83.5,1016331548
India,Asia,High,2003,19000.64,82.6,1021767634
India,Asia,High,2003,17171.19,82.8,1018882284
India,Asia,High,2003,17821.49,81.8,984986606
India,Asia,High,2003,17338.57,81.9,1043933593
India,Asia,High,2003,17337.1,83.3,989521241
India,Asia,High,2003,18122.37,84.6,1041699646
India,Asia,High,2003,18519.63,85.1,998679895
India,Asia,High,2003,20405.94,83.3,1031284622
India,Asia,High,2003,17382.87,85.5,1067325974
India,Asia,High,2003,17265.33,84,985452208
India,Asia,High,2003,18634.57,83.2,1036862052
India,Asia,High,2003,18785.86,84.1,1042111619
India,Asia,High,2003,19692.78,84.8,1020691145
India,Asia,High,2003,17197.12,83,1007629231
India,Asia,High,2003,16998.39,83,1072395041
India,Asia,High,2003,13089.3,83.5,1067554054
India,Asia,High,2003,19712.16,83.1,1081669345
India,Asia,High,2003,17461.66,86.9,1025101866
India,Asia,High,2003,19197.16,85.3,1064833669
India,Asia,High,2003,18656.75,84.8,1082959845
India,Asia,High,2004,21226.27,85.5,1051011660
India,Asia,High,2004,19187.19,83.4,1050241360
India,Asia,High,2004,20109.51,83.8,1024162951
India,Asia,High,2004,21669.26,84.2,1076271541
