Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1960,108.48
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1961,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1962,158.54
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1963,
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1964,478.13
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1965,466.08
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1966,
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1967,581.85
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1968,550.37
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1969,619.27
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1970,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1971,612.76
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1972,700.73
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1973,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1974,910.19
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1975,1112.02
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1976,1058.92
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1977,1077.62
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1978,
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1979,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1980,1432.98
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1981,
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1982,1510.04
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1983,1644.69
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1984,
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1985,1809.42
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1986,1780.92
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1987,1880.94
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1988,1919.06
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1989,2233.58
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1990,2116.13
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1991,2080.84
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1992,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1993,2202.78
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1994,2414.87
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1995,2267.14
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1996,2399.42
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1997,2621.05
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1998,2744.34
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1999,2756.75
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2000,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2001,2847.76
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2002,2799.14
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2003,2944.13
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2004,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2005,3260.08
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2006,3257.86
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2007,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2008,3394.16
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2009,3392.36
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2010,
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2011,3630.29
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2012,3741.35
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2013,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2014,3692.58
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2015,3814.71
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2016,3947.88
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2017,4081.43
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2018,4005.09
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2019,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2020,
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2021,4140.76
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2022,4410.76
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1960,225.47
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1961,175.69
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1962,124.69
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1963,275.02
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1964,442.36
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1965,334.65
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1966,544.38
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1967,175.61
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1968,569.46
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1969,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1970,556.72
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1971,645.47
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1972,
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1973,713.68
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1974,821.04
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1975,982.8
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1976,832.86
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1977,853.51
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1978,933.86
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1979,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1980,1116.27
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1981,1080.09
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1982,1234.07
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1983,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1984,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1985,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1986,1348.69
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1987,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1988,1334.46
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1989,1560.1
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1990,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1991,1630.35
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1992,1656.06
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1993,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1994,1736.81
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1995,1794.28
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1996,1798
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1997,1911.77
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1998,
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1999,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2000,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2001,2152.37
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2002,2168.84
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2003,2034.09
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2004,2272.99
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2005,2331.34
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2006,2621.32
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2007,2405.44
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2008,2504.51
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2009,2520.56
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2010,2456.84
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2011,2737.66
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2012,2748.25
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2013,2801.84
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2014,2681.48
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2015,
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2016,2731.58
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2017,2980.13
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2018,3190.17
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2019,
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2020,
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2021,3130.12
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2022,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1961,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1962,
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1963,
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1964,103.67
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1965,381.76
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1966,179.6
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1967,256.88
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1968,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1969,228.32
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1970,405.31
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1971,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1972,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1973,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1974,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1975,616.53
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1976,445.82
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1977,468.62
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1978,684.02
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1979,
